stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,platform_code,import_id,city_name,ext_siri1_id,ext_stop_headsigns,stop_code_insee
HOUN01,,Houndaro,Anglet - Houndaro,43.47145800,-1.52286000,,,0,place_HOUN,0,,HOUN01,Anglet,HOUN01,Direction ~ Norabidea: Biarritz Cité Scolaire,64024
HOUN02,,Houndaro,Anglet - Houndaro,43.47148500,-1.52247700,,,0,place_HOUN,0,,HOUN02,Anglet,HOUN02,Direction ~ Norabidea: Anglet Redon/La Barre,64024
HOUR01,,Hourque de Hé,Bayonne - Hourque de Hé,43.50566800,-1.46245700,,,0,place_HOUR,0,,HOUR01,Bayonne,HOUR01,Direction ~ Norabidea: Biarritz Aéroport/Bidart Izarbel,64102
HOUR02,,Hourque de Hé,Bayonne - Hourque de Hé,43.50560200,-1.46253800,,,0,place_HOUR,0,,HOUR02,Bayonne,HOUR02,Direction ~ Norabidea: Bayonne Sainsontan,64102
HUGE01,,Hugues,Tarnos - Hugues,43.54794200,-1.48740600,,,0,place_HUGE,0,,HUGE01,Tarnos,HUGE01,Direction ~ Norabidea: Gare de Bayonne Parvis,40312
HUGE02,,Hugues,Tarnos - Hugues,43.54789500,-1.48732000,,,0,place_HUGE,0,,HUGE02,Tarnos,HUGE02,Direction ~ Norabidea: Ondres Plage,40312
HDEA01,,Hydro Bidea,Biarritz - Hydro Bidea,43.45927300,-1.53763400,,,0,place_HDEA,0,,HDEA01,Biarritz,HDEA01,Direction ~ Norabidea: Bayonne Place des Basques,64122
HDEA02,,Hydro Bidea,Biarritz - Hydro Bidea,43.45907200,-1.53665700,,,0,place_HDEA,0,,HDEA02,Biarritz,HDEA02,Direction ~ Norabidea: Gare de Biarritz,64122
HELI01,,Hélianthe,Biarritz - Hélianthe,43.47833000,-1.56507300,,,0,place_HELI1,0,,HELI01,Biarritz,HELI01,Direction ~ Norabidea: Bidart Lore Lande / Bidart Uhabia,64122
HELI02,,Hélianthe,Biarritz - Hélianthe,43.47794200,-1.56506200,,,0,place_HELI1,0,,HELI02,Biarritz,HELI02,Direction ~ Norabidea: Bayonne Place des Basques / Mairie de Biarritz Louis Barthou,64122
HOPI01,,Hôpital,Bayonne - Hôpital,43.48255700,-1.48255700,,,0,place_HOPI,0,,HOPI01,Bayonne,HOPI01,Direction ~ Norabidea: Bayonne Marrac,64102
HOPI02,,Hôpital,Bayonne - Hôpital,43.48208100,-1.48248000,,,0,place_HOPI,0,,HOPI02,Bayonne,HOPI02,Direction ~ Norabidea: Tarnos Garròs,64102
HOPI03,,Hôpital,Bayonne - Hôpital,43.48253300,-1.48121900,,,0,place_HOPI,0,,HOPI03,Bayonne,HOPI03,Direction ~ Norabidea: Floride,64102
BCRG01,,Ilbarritz,Bidart - Ilbarritz,43.45729300,-1.57244200,,,0,place_BCRG,0,,BCRG01,Bidart,BCRG01,Direction ~ Norabidea: Bidart Uhabia,64125
